Finess_geo,rs_finess_geo,Finess_plage,rs_finess,type,region_id,region,participation,Depot,score_all_ajust,nb_rep,classement
10000024,CH FLEYRIAT,10780054,CH DE BOURG EN BRESSE FLEYRIAT,CH,84,Auvergne-Rhône-Alpes,1- Obligatoire,1- Oui,0,0,DI
10000032,CH DOCTEUR RECAMIER BELLEY,10780062,CH DOCTEUR RECAMIER,CH,84,Auvergne-Rhône-Alpes,1- Obligatoire,1- Oui,70.57,79,D
10000065,CH MONTPENSIER TREVOUX,10780096,CH DE MONTPENSIER TREVOUX,CH,84,Auvergne-Rhône-Alpes,2- Facultatif,1- Oui,0,0,DI
10005239,CH DU HAUT BUGEY SITE GEOVREISSET,10008407,CH DU HAUT BUGEY,CH,84,Auvergne-Rhône-Alpes,1- Obligatoire,1- Oui,0,0,DI
10780195,CLINIQUE CONVERT,10780195,CLINIQUE DOCTEUR CONVERT,Privé lucratif,84,Auvergne-Rhône-Alpes,1- Obligatoire,1- Oui,74.47,68,B
10780203,HOPITAL PRIVE D'AMBERIEU,10780203,CLINIQUE MUTUALISTE AMBERIEU-EN-BUGEY,Privé lucratif,84,Auvergne-Rhône-Alpes,1- Obligatoire,1- Oui,70.3,33,D
20000097,CH LA FÈRE,20000048,CENTRE HOSPITALIER GERONTOLOGIQUE,CH,32,Hauts-de-france,2- Facultatif,1- Oui,0,0,DI
20000162,CH SAINT-QUENTIN,20000063,CENTRE HOSPITALIER DE SAINT QUENTIN,CH,32,Hauts-de-france,1- Obligatoire,1- Oui,0,0,DI
20000360,CLINIQUE COURLANCY SOISSONS,20000360,CLINIQUE COURLANCY SOISSONS,Privé lucratif,32,Hauts-de-france,1- Obligatoire,1- Oui,0,0,DI
20000394,CH LAON,20000253,CH DE LAON,CH,32,Hauts-de-france,1- Obligatoire,1- Oui,0,0,DI
20000519,CH SOISSONS,20000261,CENTRE HOSPITALIER DE SOISSONS,CH,32,Hauts-de-france,1- Obligatoire,2- Non,0,0,NR
20000535,CH CHAUNY,20000287,CENTRE HOSPITALIER DE CHAUNY,CH,32,Hauts-de-france,1- Obligatoire,1- Oui,0,0,DI
20001061,CH CHÂTEAU-THIERRY,20004404,CENTRE HOSPITALIER DE CHATEAU-THIERRY,CH,32,Hauts-de-france,1- Obligatoire,1- Oui,0,0,DI
20001087,CH HIRSON,20004495,CENTRE HOSPITALIER D'HIRSON,CH,32,Hauts-de-france,1- Obligatoire,2- Non,0,0,NR
20010047,POLYCLINIQUE SAINT CLAUDE,20010047,POLYCLINIQUE SAINT CLAUDE,Privé lucratif,32,Hauts-de-france,1- Obligatoire,1- Oui,0,0,DI
30000061,CENTRE HOSPITALIER MOULINS YZEURE,30780092,CENTRE HOSPITALIER MOULINS YZEURE,CH,84,Auvergne-Rhône-Alpes,1- Obligatoire,1- Oui,71.56,84,C
30000079,CENTRE HOSPITALIER DE MONTLUCON,30780100,CENTRE HOSPITALIER DE MONTLUCON,CH,84,Auvergne-Rhône-Alpes,1- Obligatoire,1- Oui,69.47,48,D
30000087,CH JACQUES LACARIN VICHY,30780118,CENTRE HOSPITALIER DE VICHY,CH,84,Auvergne-Rhône-Alpes,1- Obligatoire,1- Oui,0,0,DI
30780548,POLYCLINIQUE LA PERGOLA,30780548,POLYCLINIQUE LA PERGOLA,Privé lucratif,84,Auvergne-Rhône-Alpes,1- Obligatoire,1- Oui,0,0,DI
30781116,HOPITAL PRIVE SAINT-FRANCOIS,30781116,HOPITAL PRIVE ST FRANCOIS - POLYCLINIQUE ST ANTOINE,Privé lucratif,84,Auvergne-Rhône-Alpes,1- Obligatoire,1- Oui,0,0,DI
30785430,POLYCLINIQUE SAINT-ODILON,30785430,POLYCLINIQUE SAINT-ODILON,Privé lucratif,84,Auvergne-Rhône-Alpes,1- Obligatoire,1- Oui,0,0,DI
40000093,CENTRE HOSPITALIER DE MANOSQUE,40780215,CENTRE HOSPITALIER DE MANOSQUE,CH,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,2- Non,0,0,NR
40000135,CHI DES ALPES DU SUD SITE DE SISTERON,50002948,CENTRE HOSPITALIER INTERCOMMUNAL DES ALPES DU SUD,CH,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,1- Oui,0,0,DI
40000911,CENTRE HOSPIT GENERAL DIGNE LES BAINS,40788879,CENTRE HOSPITALIER DE DIGNE LES BAINS,CH,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,2- Non,0,0,NR
40780470,CLINIQUE TOUTES AURES,40780470,CLINIQUE DE TOUTES AURES,Privé lucratif,93,Provence-Alpes-Côte d'Azur,2- Facultatif,1- Oui,0,0,DI
50000090,POLYCLINIQUE DES ALPES DU SUD GAP,50000090,POLYCLINIQUE DES ALPES DU SUD GAP,Privé lucratif,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,2- Non,0,0,NR
